s,name
http://kg_sdm.org/Person/Griffiths_A_,Griffiths A.
http://kg_sdm.org/Person/Grimsman_D_,Grimsman D.
http://kg_sdm.org/Person/Grishaev_V_,Grishaev V.
http://kg_sdm.org/Person/Gross_A_,Gross A.
http://kg_sdm.org/Person/Guldiken_R_,Guldiken R.
http://kg_sdm.org/Person/Gunnarsson_A_,Gunnarsson A.
http://kg_sdm.org/Person/Gunter_C_,Gunter C.
http://kg_sdm.org/Person/Gunther_H_,Gunther H.
http://kg_sdm.org/Person/Guo_C_,Guo C.
http://kg_sdm.org/Person/Guo_Z_,Guo Z.
http://kg_sdm.org/Person/Gustafson_E_,Gustafson E.
http://kg_sdm.org/Person/Guthrie_S_,Guthrie S.
http://kg_sdm.org/Person/Guthrie_W_S_,Guthrie W.S.
http://kg_sdm.org/Person/Hackney_D_,Hackney D.
http://kg_sdm.org/Person/Hadi_Nazari_S_,Hadi Nazari S.
http://kg_sdm.org/Person/Hajimirzaie_S_M_,Hajimirzaie S.M.
http://kg_sdm.org/Person/Halverson_D_M_,Halverson D.M.
http://kg_sdm.org/Person/Hamblin_M_,Hamblin M.
http://kg_sdm.org/Person/Hamilton_E_S_,Hamilton E.S.
http://kg_sdm.org/Person/Hamilton_M_,Hamilton M.
http://kg_sdm.org/Person/Hamilton_P_K_,Hamilton P.K.
http://kg_sdm.org/Person/Hammond_A_M_,Hammond A.M.
http://kg_sdm.org/Person/Hancioglu_M_,Hancioglu M.
http://kg_sdm.org/Person/Hanks_K_N_,Hanks K.N.
http://kg_sdm.org/Person/Hansen_K_R_,Hansen K.R.
http://kg_sdm.org/Person/Hansen_L_T_,Hansen L.T.
http://kg_sdm.org/Person/Hanson_R_,Hanson R.
http://kg_sdm.org/Person/Hanson_R_M_,Hanson R.M.
http://kg_sdm.org/Person/Harb_J_N_,Harb J.N.
http://kg_sdm.org/Person/Harden_T_,Harden T.
http://kg_sdm.org/Person/Hardman_M_A_,Hardman M.A.
http://kg_sdm.org/Person/Hardy_R_T_,Hardy R.T.
http://kg_sdm.org/Person/Harrington_M_,Harrington M.
http://kg_sdm.org/Person/Harrison_C_R_,Harrison C.R.
http://kg_sdm.org/Person/Harrison_W_K_,Harrison W.K.
